observation_noise_percent,final_x_error_m,rmse_x_m,rmse_theta_deg,rms_force_n,max_theta_deg,max_force_n,cumulative_reward,settling_time_s
0,-0.0290,0.6530,3.576,1.210,13.506,6.604,118.415,3.800
5,-0.0061,0.6492,3.804,2.548,14.305,7.196,106.102,9.800
