ru,final_x_error_m,rmse_x_m,rmse_theta_deg,rms_force_n,max_theta_deg,max_force_n,settling_time_s
0.01,0.0124,0.3183,2.229,1.189,10.428,9.684,2.467
0.50,0.0727,0.3335,2.432,1.131,11.604,5.980,
